provider,model_title,model_url,model_key_inferred,source_field,source_enum_value,standard_dimension,standard_value,confidence,note
kie,grok-imagine,https://docs.kie.ai/market/grok-imagine/text-to-image.md,grok-imagine,paths.post.input.aspect_ratio,9:16,ASPECT_RATIO,9:21,MEDIUM,std_to_api:nearest_ratio
kie,grok-imagine,https://docs.kie.ai/market/grok-imagine/text-to-image.md,grok-imagine,paths.post.input.aspect_ratio,1:1,ASPECT_RATIO,AUTO,LOW,std_to_api:fallback_baseline
kie,kling,https://docs.kie.ai/market/kling/text-to-video.md,kling,paths.post.input.aspect_ratio,16:9,ASPECT_RATIO,16:9,HIGH,std_to_api:exact
kie,kling,https://docs.kie.ai/market/kling/text-to-video.md,kling,paths.post.input.aspect_ratio,1:1,ASPECT_RATIO,1:1,HIGH,std_to_api:exact
kie,kling,https://docs.kie.ai/market/kling/text-to-video.md,kling,paths.post.input.aspect_ratio,16:9,ASPECT_RATIO,21:9,MEDIUM,std_to_api:nearest_ratio
kie,kling,https://docs.kie.ai/market/kling/text-to-video.md,kling,paths.post.input.aspect_ratio,9:16,ASPECT_RATIO,2:3,MEDIUM,std_to_api:nearest_ratio
kie,kling,https://docs.kie.ai/market/kling/text-to-video.md,kling,paths.post.input.aspect_ratio,16:9,ASPECT_RATIO,3:2,MEDIUM,std_to_api:nearest_ratio
kie,kling,https://docs.kie.ai/market/kling/text-to-video.md,kling,paths.post.input.aspect_ratio,9:16,ASPECT_RATIO,3:4,MEDIUM,std_to_api:nearest_ratio
kie,kling,https://docs.kie.ai/market/kling/text-to-video.md,kling,paths.post.input.aspect_ratio,1:1,ASPECT_RATIO,4:3,MEDIUM,std_to_api:nearest_ratio
kie,kling,https://docs.kie.ai/market/kling/text-to-video.md,kling,paths.post.input.aspect_ratio,9:16,ASPECT_RATIO,9:16,HIGH,std_to_api:exact
kie,kling,https://docs.kie.ai/market/kling/text-to-video.md,kling,paths.post.input.aspect_ratio,9:16,ASPECT_RATIO,9:21,MEDIUM,std_to_api:nearest_ratio
kie,kling,https://docs.kie.ai/market/kling/text-to-video.md,kling,paths.post.input.aspect_ratio,1:1,ASPECT_RATIO,AUTO,LOW,std_to_api:fallback_baseline
kie,kling/kling-3-0,https://docs.kie.ai/market/kling/kling-3-0.md,kling/kling-3-0,paths.post.input.aspect_ratio,16:9,ASPECT_RATIO,16:9,HIGH,std_to_api:exact
kie,kling/kling-3-0,https://docs.kie.ai/market/kling/kling-3-0.md,kling/kling-3-0,paths.post.input.aspect_ratio,1:1,ASPECT_RATIO,1:1,HIGH,std_to_api:exact
kie,kling/kling-3-0,https://docs.kie.ai/market/kling/kling-3-0.md,kling/kling-3-0,paths.post.input.aspect_ratio,16:9,ASPECT_RATIO,21:9,MEDIUM,std_to_api:nearest_ratio
kie,kling/kling-3-0,https://docs.kie.ai/market/kling/kling-3-0.md,kling/kling-3-0,paths.post.input.aspect_ratio,9:16,ASPECT_RATIO,2:3,MEDIUM,std_to_api:nearest_ratio
