"field","title","url","allowed_values","value_count"
"model","Kling - V2.5 Turbo Image to Video Pro","https://docs.kie.ai/market/kling/v25-turbo-image-to-video-pro.md","10; 200; 401; 402; 404; 422; 429; 455; 5; 500; 501; 505; kling/v2-1-master-image-to-video","13"
"model","Kling - V2.5 Turbo Text to Video Pro","https://docs.kie.ai/market/kling/v25-turbo-text-to-video-pro.md","10; 200; 401; 402; 404; 422; 429; 455; 5; 500; 501; 505; kling/v2-5-turbo-text-to-video-pro","13"
"model","Kling 2.6 Image to Video","https://docs.kie.ai/market/kling/image-to-video.md","10; 200; 401; 402; 404; 422; 429; 455; 5; 500; 501; 505; kling-2.6/image-to-video","13"
"model","Kling 2.6 motion-control","https://docs.kie.ai/market/kling/motion-control.md","200; 401; 402; 404; 422; 429; 455; 500; 501; 505; image; kling-2.6/motion-control; video","13"
"model","Kling 2.6 Text to Video","https://docs.kie.ai/market/kling/text-to-video.md","1:1; 16:9; 200; 401; 402; 404; 422; 429; 455; 500; 501; 505; 9:16; kling-2.6/text-to-video","14"
"model","Kling 3.0","https://docs.kie.ai/market/kling/kling-3-0.md","kling-3.0/video","1"
"model","Kling AI Avatar Pro","https://docs.kie.ai/market/kling/ai-avatar-pro.md","200; 401; 402; 404; 422; 429; 455; 500; 501; 505; kling/ai-avatar-pro","11"
"model","Kling AI Avatar Standard","https://docs.kie.ai/market/kling/ai-avatar-standard.md","200; 401; 402; 404; 422; 429; 455; 500; 501; 505; kling/ai-avatar-standard","11"
"model","Kling V2.1 Master Image to Video","https://docs.kie.ai/market/kling/v2-1-master-image-to-video.md","10; 200; 401; 402; 404; 422; 429; 455; 5; 500; 501; 505; kling/v2-1-master-image-to-video","13"
"model","Kling V2.1 Master Text to Video","https://docs.kie.ai/market/kling/v2-1-master-text-to-video.md","10; 200; 401; 402; 404; 422; 429; 455; 5; 500; 501; 505; kling/v2-1-master-text-to-video","13"
"model","Kling V2.1 Pro","https://docs.kie.ai/market/kling/v2-1-pro.md","10; 200; 401; 402; 404; 422; 429; 455; 5; 500; 501; 505; kling/v2-1-pro","13"
"model","Kling V2.1 Standard","https://docs.kie.ai/market/kling/v2-1-standard.md","10; 200; 401; 402; 404; 422; 429; 455; 5; 500; 501; 505; kling/v2-1-standard","13"
"model","Qwen - Image Edit","https://docs.kie.ai/market/qwen/image-edit.md","1; 2; 200; 3; 4; 401; 402; 404; 422; 429; 455; 500; 501; 505; high; none; qwen/image-edit; regular","18"
"model","Qwen - Image to Image","https://docs.kie.ai/market/qwen/image-to-image.md","200; 401; 402; 404; 422; 429; 455; 500; 501; 505; jpeg; png; qwen/image-to-image","13"
"model","Qwen - Text to Image","https://docs.kie.ai/market/qwen/text-to-image.md","200; 401; 402; 404; 422; 429; 455; 500; 501; 505; jpeg; landscape_16_9; landscape_4_3; png; portrait_16_9; portrait_4_3; qwen/text-to-image; square; square_hd","19"
"model","Recraft - Crisp Upscale","https://docs.kie.ai/market/recraft/crisp-upscale.md","200; 401; 402; 404; 422; 429; 455; 500; 501; 505; recraft/crisp-upscale","11"
"model","Recraft - Remove Background","https://docs.kie.ai/market/recraft/remove-background.md","200; 401; 402; 404; 422; 429; 455; 500; 501; 505; recraft/remove-background","11"
"model","Seedream3.0 - Text to Image","https://docs.kie.ai/market/seedream/seedream.md","200; 401; 402; 404; 422; 429; bytedance/seedream; landscape_16_9; landscape_4_3; portrait_16_9; portrait_4_3; square; square_hd","13"
"model","Seedream4.0 - Edit","https://docs.kie.ai/market/seedream/seedream-v4-edit.md","bytedance/seedream-v4-edit; landscape_16_9; landscape_21_9; landscape_3_2; landscape_4_3; portrait_16_9; portrait_3_2; portrait_4_3; square; square_hd","10"
"model","Seedream4.0 - Text to Image","https://docs.kie.ai/market/seedream/seedream-v4-text-to-image.md","bytedance/seedream-v4-text-to-image; landscape_16_9; landscape_21_9; landscape_3_2; landscape_4_3; portrait_16_9; portrait_3_2; portrait_4_3; square; square_hd","10"
"model","Seedream4.5 - Edit","https://docs.kie.ai/market/seedream/4-5-edit.md","1:1; 16:9; 2:3; 21:9; 3:2; 3:4; 4:3; 9:16; seedream/4.5-edit","9"
"model","Seedream4.5 - Text to Image","https://docs.kie.ai/market/seedream/4-5-text-to-image.md","1:1; 16:9; 2:3; 21:9; 3:2; 3:4; 4:3; 9:16; seedream/4.5-text-to-image","9"
"model","Sora2 - Characters","https://docs.kie.ai/market/sora2/sora-2-characters.md","200; 401; 402; 404; 422; 429; 455; 500; 501; 505; sora-2-characters","11"
"model","Sora2 - Characters Pro","https://docs.kie.ai/market/sora2/sora-2-characters-pro.md","sora-2-characters-pro","1"
"model","Sora2 - Image to Video","https://docs.kie.ai/market/sora2/sora-2-image-to-video.md","200; 401; 402; 404; 422; 429; 455; 500; 501; 505; landscape; portrait; sora-2-image-to-video","13"
"model","Sora2 - Pro Image to Video","https://docs.kie.ai/market/sora2/sora-2-pro-image-to-video.md","200; 401; 402; 404; 422; 429; 455; 500; 501; 505; landscape; portrait; sora-2-pro-image-to-video","13"
"model","Sora2 - Pro Storyboard","https://docs.kie.ai/market/sora-2-pro-storyboard.md","10; 15; 200; 25; 401; 402; 404; 422; 429; 455; 500; 501; 505; sora-2-pro-storyboard","14"
"model","Sora2 - Pro Text to Video","https://docs.kie.ai/market/sora2/sora-2-pro-text-to-video.md","200; 401; 402; 404; 422; 429; 455; 500; 501; 505; landscape; portrait; sora-2-pro-text-to-video","13"
"model","Sora2 - Text to Video","https://docs.kie.ai/market/sora2/sora-2-text-to-video.md","200; 401; 402; 404; 422; 429; 455; 500; 501; 505; landscape; portrait; sora-2-text-to-video","13"
"model","Sora2 - Watermark Remover","https://docs.kie.ai/market/sora2/sora-watermark-remover.md","200; 401; 402; 404; 422; 429; 455; 500; 501; 505; sora-watermark-remover","11"
"model","Topaz - Image Upscale","https://docs.kie.ai/market/topaz/image-upscale.md","1; 2; 200; 4; 401; 402; 404; 422; 429; 455; 500; 501; 505; 8; topaz/image-upscale","15"
"model","Topaz - Video Upscale","https://docs.kie.ai/market/topaz/video-upscale.md","1; 2; 4; topaz/video-upscale","4"
"model","Wan - 2.2 A14B Speech to Video Turbo","https://docs.kie.ai/market/wan/2-2-a14b-speech-to-video-turbo.md","480p; 580p; 720p; wan/2-2-a14b-speech-to-video-turbo","4"
"model","Wan - 2.6-flash-image-to-video","https://docs.kie.ai/market/wan/2-6-flash-image-to-video.md","10; 15; 5; wan/2-6-flash-image-to-video","4"
"model","Wan - 2-6-flash-video-to-video","https://docs.kie.ai/market/wan/2-6-flash-video-to-video.md","10; 5; wan/2-6-flash-video-to-video","3"
"model","Wan - Animate Move","https://docs.kie.ai/market/wan/2-2-animate-move.md","480p; 580p; 720p; wan/2-2-animate-move","4"
"model","Wan - Animate Replace","https://docs.kie.ai/market/wan/2-2-animate-replace.md","480p; 580p; 720p; wan/2-2-animate-replace","4"
"model","Wan - Image to Video","https://docs.kie.ai/market/wan/2-2-a14b-image-to-video-turbo.md","480p; 720p; none; regular; wan/2-2-a14b-image-to-video-turbo","5"
"model","Wan - Text to Video","https://docs.kie.ai/market/wan/2-2-a14b-text-to-video-turbo.md","480p; 720p; none; regular; wan/2-2-a14b-text-to-video-turbo","5"
"model","Wan 2.6 - Image to Video","https://docs.kie.ai/market/wan/2-6-image-to-video.md","10; 15; 5; wan/2-6-image-to-video","4"
"model","Wan 2.6 - Text to Video","https://docs.kie.ai/market/wan/2-6-text-to-video.md","10; 15; 5; wan/2-6-text-to-video","4"
"model","Wan 2.6 - Video to Video","https://docs.kie.ai/market/wan/2-6-video-to-video.md","10; 5; wan/2-6-video-to-video","3"
"model","Z-Image","https://docs.kie.ai/market/z-image/z-image.md","1:1; 16:9; 3:4; 4:3; 9:16; z-image","6"
"quality","Bytedance - V1 Lite Image to Video","https://docs.kie.ai/market/bytedance/v1-lite-image-to-video.md","1080p; 480p; 720p","3"
"quality","Bytedance - V1 Lite Text to Video","https://docs.kie.ai/market/bytedance/v1-lite-text-to-video.md","1080p; 480p; 720p","3"
"quality","Bytedance - V1 Pro Text to Video","https://docs.kie.ai/market/bytedance/v1-pro-text-to-video.md","1080p; 480p; 720p","3"
"quality","Bytedance Seedance 1.5 Pro","https://docs.kie.ai/market/bytedance/seedance-1-5-pro.md","1080p; 480p; 720p","3"
"quality","Bytedance V1 Pro Fast Image to Video","https://docs.kie.ai/market/bytedance/v1-pro-fast-image-to-video.md","1080p; 720p","2"
"quality","Bytedance V1 Pro Image to Video","https://docs.kie.ai/market/bytedance/v1-pro-image-to-video.md","1080p; 480p; 720p","3"
"quality","elevenlabs/text-to-speech-turbo-2-5","https://docs.kie.ai/market/elevenlabs/text-to-speech-turbo-2-5.md","200; 401; 402; 404; 422; 429; 455; 500; 501; 505","10"
"quality","Extend AI Video","https://docs.kie.ai/runway-api/extend-ai-video.md","200; 401; 404; 422; 429; 451; 455; 500","8"
"quality","Flux-2 - Pro Text to Image","https://docs.kie.ai/market/flux2/pro-text-to-image.md","flux-2/pro-text-to-image","1"
"quality","Flux-2 - Text to Image","https://docs.kie.ai/market/flux2/flex-text-to-image.md","flux-2/flex-text-to-image","1"
"quality","Generate AI Video","https://docs.kie.ai/runway-api/generate-ai-video.md","1:1; 16:9; 200; 3:4; 4:3; 401; 404; 422; 451; 455; 500; 9:16","12"
"quality","Generate or Edit Image","https://docs.kie.ai/flux-kontext-api/generate-or-edit-image.md","flux-kontext-max; flux-kontext-pro","2"
"quality","GPT Image-1.5 - Image to Image","https://docs.kie.ai/market/gpt-image/1-5-image-to-image.md","200; 401; 402; 404; 422; 429; 455; 500; 501; 505; high; medium","12"
"quality","GPT Image-1.5 - Text to Image","https://docs.kie.ai/market/gpt-image/1-5-text-to-image.md","200; 401; 402; 404; 422; 429; 455; 500; 501; 505; high; medium","12"
"quality","Grok Imagine Image to Video","https://docs.kie.ai/market/grok-imagine/image-to-video.md","fun; normal; spicy","3"
"quality","Grok Imagine Text to Video","https://docs.kie.ai/market/grok-imagine/text-to-video.md","fun; normal; spicy","3"
"quality","Hailuo 2.3 Standard Image to Video","https://docs.kie.ai/market/hailuo/2-3-image-to-video-standard.md","10; 200; 401; 402; 404; 422; 429; 455; 500; 501; 505; 6","12"
"quality","Ideogram - Character","https://docs.kie.ai/market/ideogram/character.md","AUTO; FICTION; REALISTIC","3"
"quality","Ideogram - Character Edit","https://docs.kie.ai/market/ideogram/character-edit.md","AUTO; FICTION; REALISTIC","3"
"quality","Ideogram - Character Remix","https://docs.kie.ai/market/ideogram/character-remix.md","200; 401; 402; 404; 422; 429; 455; 500; 501; 505; AUTO; BALANCED; FICTION; QUALITY; REALISTIC; TURBO","16"
"quality","Ideogram - V3 Reframe","https://docs.kie.ai/market/ideogram/v3-reframe.md","AUTO; DESIGN; GENERAL; REALISTIC","4"
"quality","Kling - V2.5 Turbo Image to Video Pro","https://docs.kie.ai/market/kling/v25-turbo-image-to-video-pro.md","200; 401; 402; 404; 422; 429; 455; 500; 501; 505","10"
"quality","Kling - V2.5 Turbo Text to Video Pro","https://docs.kie.ai/market/kling/v25-turbo-text-to-video-pro.md","200; 401; 402; 404; 422; 429; 455; 500; 501; 505","10"
"quality","Kling 3.0","https://docs.kie.ai/market/kling/kling-3-0.md","kling-3.0/video","1"
"quality","Kling V2.1 Master Image to Video","https://docs.kie.ai/market/kling/v2-1-master-image-to-video.md","200; 401; 402; 404; 422; 429; 455; 500; 501; 505","10"
"quality","Kling V2.1 Master Text to Video","https://docs.kie.ai/market/kling/v2-1-master-text-to-video.md","200; 401; 402; 404; 422; 429; 455; 500; 501; 505","10"
"quality","Kling V2.1 Pro","https://docs.kie.ai/market/kling/v2-1-pro.md","200; 401; 402; 404; 422; 429; 455; 500; 501; 505","10"
"quality","Kling V2.1 Standard","https://docs.kie.ai/market/kling/v2-1-standard.md","200; 401; 402; 404; 422; 429; 455; 500; 501; 505","10"
"quality","Qwen - Image Edit","https://docs.kie.ai/market/qwen/image-edit.md","high; none; regular","3"
"quality","Qwen - Image to Image","https://docs.kie.ai/market/qwen/image-to-image.md","high; none; regular","3"
"quality","Qwen - Text to Image","https://docs.kie.ai/market/qwen/text-to-image.md","high; none; qwen/text-to-image; regular","4"
"quality","Recraft - Crisp Upscale","https://docs.kie.ai/market/recraft/crisp-upscale.md","recraft/crisp-upscale","1"
"quality","Seedream4.0 - Text to Image","https://docs.kie.ai/market/seedream/seedream-v4-text-to-image.md","bytedance/seedream-v4-text-to-image","1"
