provider,model_key_inferred,model_title,model_url,source_field,standard_dimension,standard_value,mapped_api_enum_value,mapping_rule,is_mapped
kie,google/imagen4-ultra,Google - imagen4-ultra,https://docs.kie.ai/market/google/imagen4-ultra.md,paths.post.input.aspect_ratio,ASPECT_RATIO,9:21,9:16,nearest_ratio,1
kie,google/imagen4-ultra,Google - imagen4-ultra,https://docs.kie.ai/market/google/imagen4-ultra.md,paths.post.input.aspect_ratio,ASPECT_RATIO,AUTO,1:1,fallback_baseline,1
kie,gpt-image/1-5-image-to-image,GPT Image-1.5 - Image to Image,https://docs.kie.ai/market/gpt-image/1-5-image-to-image.md,paths.post.input.aspect_ratio,ASPECT_RATIO,16:9,3:2,nearest_ratio,1
kie,gpt-image/1-5-image-to-image,GPT Image-1.5 - Image to Image,https://docs.kie.ai/market/gpt-image/1-5-image-to-image.md,paths.post.input.aspect_ratio,ASPECT_RATIO,1:1,1:1,exact,1
kie,gpt-image/1-5-image-to-image,GPT Image-1.5 - Image to Image,https://docs.kie.ai/market/gpt-image/1-5-image-to-image.md,paths.post.input.aspect_ratio,ASPECT_RATIO,21:9,3:2,nearest_ratio,1
kie,gpt-image/1-5-image-to-image,GPT Image-1.5 - Image to Image,https://docs.kie.ai/market/gpt-image/1-5-image-to-image.md,paths.post.input.aspect_ratio,ASPECT_RATIO,2:3,2:3,exact,1
kie,gpt-image/1-5-image-to-image,GPT Image-1.5 - Image to Image,https://docs.kie.ai/market/gpt-image/1-5-image-to-image.md,paths.post.input.aspect_ratio,ASPECT_RATIO,3:2,3:2,exact,1
kie,gpt-image/1-5-image-to-image,GPT Image-1.5 - Image to Image,https://docs.kie.ai/market/gpt-image/1-5-image-to-image.md,paths.post.input.aspect_ratio,ASPECT_RATIO,3:4,2:3,nearest_ratio,1
kie,gpt-image/1-5-image-to-image,GPT Image-1.5 - Image to Image,https://docs.kie.ai/market/gpt-image/1-5-image-to-image.md,paths.post.input.aspect_ratio,ASPECT_RATIO,4:3,3:2,nearest_ratio,1
kie,gpt-image/1-5-image-to-image,GPT Image-1.5 - Image to Image,https://docs.kie.ai/market/gpt-image/1-5-image-to-image.md,paths.post.input.aspect_ratio,ASPECT_RATIO,9:16,2:3,nearest_ratio,1
kie,gpt-image/1-5-image-to-image,GPT Image-1.5 - Image to Image,https://docs.kie.ai/market/gpt-image/1-5-image-to-image.md,paths.post.input.aspect_ratio,ASPECT_RATIO,9:21,2:3,nearest_ratio,1
kie,gpt-image/1-5-image-to-image,GPT Image-1.5 - Image to Image,https://docs.kie.ai/market/gpt-image/1-5-image-to-image.md,paths.post.input.aspect_ratio,ASPECT_RATIO,AUTO,1:1,fallback_baseline,1
kie,gpt-image/1-5-text-to-image,GPT Image-1.5 - Text to Image,https://docs.kie.ai/market/gpt-image/1-5-text-to-image.md,paths.post.input.aspect_ratio,ASPECT_RATIO,16:9,3:2,nearest_ratio,1
kie,gpt-image/1-5-text-to-image,GPT Image-1.5 - Text to Image,https://docs.kie.ai/market/gpt-image/1-5-text-to-image.md,paths.post.input.aspect_ratio,ASPECT_RATIO,1:1,1:1,exact,1
